City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudness,Wind Speed
141,College,US,2022-03-26 18:21:06,64.8569,-147.8028,25.07,68,75,0.0
142,Coahuayana,MX,2022-03-26 18:15:18,18.7333,-103.6833,89.82,19,64,6.51
143,Somerset,US,2022-03-26 18:21:07,40.5668,-74.5496,53.91,50,100,9.22
144,Mercedes,AR,2022-03-26 18:21:07,-34.6515,-59.4307,73.78,52,36,13.44
145,Fairbanks,US,2022-03-26 18:21:09,64.8378,-147.7164,25.09,68,0,0.0
146,Kumba,CM,2022-03-26 18:21:10,4.6363,9.4469,78.69,82,85,5.86
147,Dosso,NE,2022-03-26 18:21:11,13.049,3.1937,94.91,9,63,10.31
148,Graham,US,2022-03-26 18:21:12,47.0529,-122.2943,55.65,76,100,1.01
149,Cork,IE,2022-03-26 18:21:12,51.898,-8.4706,55.63,50,20,11.5
150,Sao Paulo De Olivenca,BR,2022-03-26 18:21:13,-3.3783,-68.8725,84.18,74,100,2.91
151,Raudeberg,NO,2022-03-26 18:20:28,61.9875,5.1352,41.86,66,100,15.05
152,Rosario,AR,2022-03-26 18:21:14,-32.9468,-60.6393,81.07,54,75,8.05
153,San Cristobal,VE,2022-03-26 18:21:15,7.7669,-72.225,80.78,46,93,6.78
154,Gamba,GA,2022-03-26 18:21:16,-2.65,10.0,79.74,88,97,7.49
155,Brandon,US,2022-03-26 18:21:16,27.9378,-82.2859,79.25,56,0,10.36
156,Muros,ES,2022-03-26 18:21:17,42.7762,-9.0603,64.69,63,100,4.81
157,Maine-Soroa,NE,2022-03-26 18:21:18,13.2114,12.0241,81.84,9,12,10.94
158,Port Hardy,CA,2022-03-26 18:16:19,50.6996,-127.4199,44.78,93,100,12.66
159,Soyo,AO,2022-03-26 18:21:19,-6.1349,12.3689,80.55,87,67,11.01
160,Half Moon Bay,US,2022-03-26 18:15:08,37.4636,-122.4286,69.75,76,100,12.66
161,Conde,BR,2022-03-26 18:21:20,-7.2597,-34.9075,80.06,89,75,6.91
162,Arlit,NE,2022-03-26 18:21:21,18.7369,7.3853,87.08,7,83,10.11
163,Pacific Grove,US,2022-03-26 18:13:27,36.6177,-121.9166,64.38,81,0,10.0
164,Pangnirtung,CA,2022-03-26 18:21:22,66.1451,-65.7125,26.6,59,75,12.66
165,Gat,IL,2022-03-26 18:21:23,31.61,34.7642,56.39,68,0,1.14
166,Salta,AR,2022-03-26 18:21:23,-24.7859,-65.4117,75.79,43,20,11.5
167,Makakilo City,US,2022-03-26 18:15:21,21.3469,-158.0858,75.52,63,0,9.22
168,Aripuana,BR,2022-03-26 18:21:24,-9.1667,-60.6333,84.31,84,95,2.59
169,Tessalit,ML,2022-03-26 18:21:25,20.1986,1.0114,94.41,10,92,12.91
170,Whitefish,US,2022-03-26 18:20:06,48.4111,-114.3376,54.21,49,75,0.0
171,Calvia,ES,2022-03-26 18:21:24,39.5657,2.5062,55.92,85,100,13.15
172,Venice,US,2022-03-26 18:17:05,27.0998,-82.4543,78.98,48,0,13.8
173,Puerto Carreno,CO,2022-03-26 18:19:12,6.189,-67.4859,87.69,55,99,11.86
174,San Patricio,US,2022-03-26 18:21:27,28.017,-97.5169,87.89,23,0,11.72
175,Tutoia,BR,2022-03-26 18:21:28,-2.7619,-42.2744,82.4,77,92,10.11
176,Hamilton,US,2022-03-26 18:21:19,39.1834,-84.5333,38.25,70,100,19.57
177,Charleston,US,2022-03-26 18:19:40,32.7766,-79.9309,71.02,30,0,20.71
178,Rodeo,US,2022-03-26 18:18:17,38.033,-122.2669,71.26,68,0,8.01
179,Moerai,PF,2022-03-26 18:21:31,-22.4333,-151.3333,80.85,75,72,11.68
180,Mazatlan,MX,2022-03-26 18:19:21,23.2167,-106.4167,78.76,86,75,4.0
181,East Wenatchee Bench,US,2022-03-26 18:21:32,47.4257,-120.2812,54.97,52,75,3.0
182,Ixtapa,MX,2022-03-26 18:21:32,20.7,-105.2,78.03,53,0,6.91
183,Caluquembe,AO,2022-03-26 18:21:33,-13.7833,14.6833,66.85,71,99,3.58
184,Westport,US,2022-03-26 18:18:31,41.1415,-73.3579,53.42,68,100,11.5
185,Boca Do Acre,BR,2022-03-26 18:21:35,-8.7522,-67.3978,80.76,92,100,2.44
186,Loandjili,CG,2022-03-26 18:21:36,-4.7561,11.8578,82.51,78,20,6.91
187,Santa Maria,BR,2022-03-26 18:22:36,-29.6842,-53.8069,69.1,68,75,9.22
188,Coihaique,CL,2022-03-26 18:22:37,-45.5752,-72.0662,64.35,48,75,8.05
189,Santa Cruz Cabralia,BR,2022-03-26 18:22:38,-16.2781,-39.0247,84.43,74,20,14.97
190,Laguna,US,2022-03-26 18:14:05,38.421,-121.4238,75.09,61,0,5.75
191,Dzilam Gonzalez,MX,2022-03-26 18:22:39,21.2833,-88.9333,78.08,40,53,9.26
192,Olinda,BR,2022-03-26 18:22:40,-8.0089,-34.8553,83.93,70,40,6.91
193,Nicolas Bravo,MX,2022-03-26 18:22:40,18.45,-88.9167,83.79,31,98,3.89
194,Valdivia,CL,2022-03-26 18:20:50,-39.8142,-73.2459,62.17,68,49,6.91
195,Bathsheba,BB,2022-03-26 18:22:41,13.2167,-59.5167,84.81,65,40,21.85
196,Caserta,IT,2022-03-26 18:22:42,41.0832,14.3349,61.66,52,79,1.79
197,Bud,US,2022-03-26 18:22:43,39.447,-86.1758,39.47,67,100,18.14
198,Bryan,US,2022-03-26 18:22:43,30.6744,-96.37,82.15,23,0,12.66
199,Bensonville,LR,2022-03-26 18:22:44,6.4461,-10.6125,74.75,74,92,6.64
200,Araouane,ML,2022-03-26 18:22:45,18.9048,-3.5265,91.81,21,39,5.35
201,Barcelos,PT,2022-03-26 18:19:55,41.5388,-8.6151,65.84,70,83,4.65
202,Muisne,EC,2022-03-26 18:22:46,0.6,-80.0333,78.28,85,100,4.83
203,Crotone,IT,2022-03-26 18:22:46,39.0851,17.1178,55.35,87,0,4.61
204,Two Rivers,US,2022-03-26 18:22:47,44.1539,-87.5693,28.53,67,100,20.71
205,Bathurst,AU,2022-03-26 18:22:48,-33.4166,149.5806,57.83,89,88,9.4
206,Huambo,AO,2022-03-26 18:22:48,-12.7761,15.7392,64.36,87,100,2.75
207,Abai,PY,2022-03-26 18:22:49,-26.0333,-55.9333,77.61,52,0,5.3
208,Sorland,NO,2022-03-26 18:22:50,67.667,12.6934,32.13,53,100,4.47
209,Yenagoa,NG,2022-03-26 18:22:50,4.9247,6.2642,84.76,71,54,9.19
210,Carballo,ES,2022-03-26 18:22:51,43.213,-8.691,62.55,75,100,2.75
211,Qaqortoq,GL,2022-03-26 18:22:52,60.7167,-46.0333,29.37,62,2,5.46
212,Calabozo,VE,2022-03-26 18:14:09,8.9242,-67.4293,97.86,29,96,8.28
213,Luderitz,NA,2022-03-26 18:15:16,-26.6481,15.1594,64.83,74,0,9.91
214,Ipixuna,BR,2022-03-26 18:22:53,-1.7625,-48.8043,82.31,88,77,3.36
215,Tatawin,TN,2022-03-26 18:22:54,32.9297,10.4518,80.2,11,52,9.08
216,Palmer,US,2022-03-26 18:22:54,42.1584,-72.3287,53.24,65,100,8.05
217,Arandis,NA,2022-03-26 18:22:55,-22.4167,14.9667,73.8,56,0,5.57
218,Temozon,MX,2022-03-26 18:22:56,20.8,-88.2167,85.19,27,37,5.86
219,Port-Cartier,CA,2022-03-26 18:22:56,50.0334,-66.8654,32.76,99,100,6.8
220,Pitimbu,BR,2022-03-26 18:22:57,-7.4706,-34.8086,81.19,75,98,7.58
221,Castanos,MX,2022-03-26 18:22:58,26.7833,-101.4167,80.19,17,20,0.0
222,Duku,NG,2022-03-26 18:22:58,11.2361,4.9073,99.01,8,54,10.49
223,Egvekinot,RU,2022-03-26 18:22:59,66.3167,-179.1667,2.07,97,100,2.75
224,Nieuw Nickerie,SR,2022-03-26 18:23:00,5.95,-56.9833,81.21,71,98,14.34
225,Anchorage,US,2022-03-26 18:20:36,61.2181,-149.9003,37.67,76,0,3.0
226,Bridlington,GB,2022-03-26 18:23:01,54.0831,-0.1919,53.01,85,30,1.01
227,Augusto Correa,BR,2022-03-26 18:23:02,-1.0217,-46.635,82.24,80,93,6.11
228,Fortuna,US,2022-03-26 18:14:55,40.5982,-124.1573,64.92,70,0,0.0
229,Cabo Rojo,PR,2022-03-26 18:23:03,18.0866,-67.1457,83.89,69,21,5.99
230,Japura,ID,2022-03-26 18:23:04,-0.3167,102.35,75.61,95,7,1.59
231,Bredasdorp,ZA,2022-03-26 18:15:22,-34.5322,20.0403,64.51,72,39,14.29
232,Civitanova Marche,IT,2022-03-26 18:23:05,43.307,13.7206,56.12,71,50,1.01
233,Camocim,BR,2022-03-26 18:23:06,-2.9022,-40.8411,81.97,82,99,9.93
234,Punta Cardon,VE,2022-03-26 18:23:06,11.6581,-70.215,82.81,68,91,28.48
235,Independence,US,2022-03-26 18:23:07,39.0911,-94.4155,54.82,28,20,12.66
236,Havelock,US,2022-03-26 18:23:09,34.8791,-76.9013,64.98,45,0,20.71
237,Loveland,US,2022-03-26 18:24:09,40.3978,-105.075,75.43,31,0,5.75
238,Bethel,US,2022-03-26 18:24:10,41.3712,-73.414,51.21,74,100,4.61
239,Hofn,IS,2022-03-26 18:24:11,64.2539,-15.2082,44.35,97,100,7.83
240,Cap-Aux-Meules,CA,2022-03-26 18:24:11,47.3821,-61.8597,35.65,75,20,14.97
241,Diapaga,BF,2022-03-26 18:24:12,12.0708,1.7889,98.17,9,44,6.53
242,Sosua,DO,2022-03-26 18:24:13,19.7667,-70.5167,91.38,70,40,14.97
243,Whitehorse,CA,2022-03-26 18:24:14,60.7161,-135.0538,29.17,63,75,12.66
244,Millinocket,US,2022-03-26 18:24:14,45.6573,-68.7098,44.71,53,100,3.44
245,Taoudenni,ML,2022-03-26 18:15:16,22.6783,-3.9836,90.84,11,37,4.59
246,Klaksvik,FO,2022-03-26 18:24:15,62.2266,-6.589,47.32,84,100,23.53
247,La Ferte-Bernard,FR,2022-03-26 18:24:16,48.1863,0.6536,64.02,67,0,8.37
248,Carutapera,BR,2022-03-26 18:24:17,-1.195,-46.02,80.94,85,89,7.78
249,Los Llanos De Aridane,ES,2022-03-26 18:24:18,28.6585,-17.9182,62.35,76,20,19.57
250,Malumfashi,NG,2022-03-26 18:24:19,11.7853,7.6218,85.91,9,23,12.68
251,Otjimbingwe,NA,2022-03-26 18:24:21,-22.35,16.1333,79.0,37,1,10.04
252,Anloga,GH,2022-03-26 18:24:22,5.7947,0.8973,83.3,79,83,5.75
253,Touros,BR,2022-03-26 18:24:22,-5.1989,-35.4608,83.7,69,100,12.21
254,Natal,BR,2022-03-26 18:24:23,-5.795,-35.2094,84.42,74,75,19.57
255,The Valley,AI,2022-03-26 18:24:24,18.217,-63.0578,83.1,65,20,14.97
256,Big Spring,US,2022-03-26 18:24:24,32.2504,-101.4787,80.11,13,0,4.0
257,Cartagena,CO,2022-03-26 18:24:19,10.3997,-75.5144,87.42,66,40,18.41
258,Ancud,CL,2022-03-26 18:24:25,-41.8697,-73.8203,56.23,87,100,18.66
259,Kinkala,CG,2022-03-26 18:24:26,-4.3614,14.7644,76.24,84,84,1.3
260,Pinalejo,HN,2022-03-26 18:24:27,15.3833,-88.4,76.17,69,99,1.92
261,Dillon,US,2022-03-26 18:24:27,34.4166,-79.3712,67.95,29,20,21.54
262,Acapulco,MX,2022-03-26 18:21:08,16.8634,-99.8901,84.02,58,75,10.36
263,Kangaatsiaq,GL,2022-03-26 18:24:29,68.3065,-53.4641,17.73,83,100,9.46
264,Steamboat Springs,US,2022-03-26 18:23:08,40.485,-106.8317,60.01,37,0,9.22
265,Cabedelo,BR,2022-03-26 18:24:31,-6.9811,-34.8339,81.27,74,98,8.48
266,Odenthal,DE,2022-03-26 18:24:31,51.0348,7.1182,61.59,41,0,9.22
267,Moose Factory,CA,2022-03-26 18:24:32,51.2585,-80.6094,19.4,79,100,17.27
