City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Shizunai,JP,42.3339,142.3669,40.75,93,99,13.42,overcast clouds
80,Kimbe,PG,-5.5502,150.1429,85.24,68,100,4.72,overcast clouds
81,Brandfort,ZA,-28.7001,26.4597,55.33,40,0,1.83,clear sky
82,Jatara,IN,25.0167,79.05,75.09,13,6,6.24,clear sky
83,Kodiak,US,57.79,-152.4072,40.51,75,100,9.22,overcast clouds
84,Gazojak,TM,41.1875,61.4036,39.94,70,7,7.81,clear sky
85,Port Lincoln,AU,-34.7333,135.8667,76.48,36,100,7.9,overcast clouds
86,Talnakh,RU,69.4865,88.3972,2.08,77,94,3.53,overcast clouds
87,Kapaa,US,22.0752,-159.319,82.38,63,0,18.41,clear sky
88,Flinders,AU,-34.5833,150.8552,74.05,83,100,4.0,overcast clouds
89,Kasongo-Lunda,CD,-6.4667,16.8167,69.85,98,100,2.21,light rain
90,Carnarvon,AU,-24.8667,113.6333,78.87,65,0,8.05,clear sky
91,Avarua,CK,-21.2078,-159.775,80.65,83,100,11.5,overcast clouds
92,Maniitsoq,GL,65.4167,-52.9,16.18,77,89,7.99,overcast clouds
93,New Norfolk,AU,-42.7826,147.0587,71.1,52,0,1.99,clear sky
94,Portland,US,45.5234,-122.6762,65.75,69,100,8.05,overcast clouds
95,Aguada De Pasajeros,CU,22.385,-80.8508,70.61,68,28,9.64,moderate rain
96,Coihaique,CL,-45.5752,-72.0662,49.95,62,75,4.61,broken clouds
97,Maceio,BR,-9.6658,-35.7353,80.04,78,20,4.61,few clouds
98,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,65.05,76,16,10.27,few clouds
99,Northam,GB,51.0333,-4.2167,48.61,67,0,7.36,clear sky
100,Makakilo City,US,21.3469,-158.0858,80.35,49,75,16.11,broken clouds
101,Faanui,PF,-16.4833,-151.75,82.2,72,53,12.8,broken clouds
102,Rikitea,PF,-23.1203,-134.9692,79.48,70,0,13.27,clear sky
103,Thompson,CA,55.7435,-97.8558,1.56,46,0,10.36,clear sky
104,Bowen,AU,-20.0167,148.2333,82.76,66,100,11.03,overcast clouds
105,Rawson,AR,-43.3002,-65.1023,66.33,44,32,9.1,scattered clouds
106,Jurbarkas,LT,55.0778,22.7664,29.93,63,21,12.21,few clouds
107,Verkhnyaya Inta,RU,65.9811,60.3094,5.22,87,100,13.42,overcast clouds
108,Bati,ET,11.1833,40.0167,62.13,71,98,2.33,overcast clouds
109,Minab,IR,27.1467,57.0801,73.18,69,0,1.68,clear sky
110,Ignacio Zaragoza,MX,28.3833,-107.2167,64.98,10,100,6.44,overcast clouds
111,Abancay,PE,-13.6339,-72.8814,58.21,97,84,3.67,broken clouds
112,Wuning,CN,29.2589,120.2311,54.95,83,100,1.72,overcast clouds
113,Pangkalanbuun,ID,-2.6833,111.6167,81.36,82,54,3.33,broken clouds
114,Atuona,PF,-9.8,-139.0333,79.47,77,2,15.7,clear sky
115,Pevek,RU,69.7008,170.3133,2.97,92,99,8.3,overcast clouds
116,Phek,IN,25.6667,94.5,52.29,84,7,1.88,clear sky
117,Avera,US,33.194,-82.5271,60.31,33,5,15.32,clear sky
118,Te Anau,NZ,-45.4167,167.7167,64.74,58,0,2.26,clear sky
119,Ixtapa,MX,20.7,-105.2,74.43,69,0,10.36,clear sky
120,Esperance,AU,-33.8667,121.9,66.04,83,100,13.53,light rain
121,Port Alfred,ZA,-33.5906,26.891,65.17,89,39,9.6,scattered clouds
122,Luzhou,CN,28.8724,105.4405,55.11,87,100,2.93,overcast clouds
123,Nabire,ID,-3.3667,135.4833,86.05,65,100,2.1,overcast clouds
124,Klaksvik,FO,62.2266,-6.589,45.52,74,100,24.05,overcast clouds
125,Pisco,PE,-13.7,-76.2167,68.05,77,0,11.5,clear sky
126,Isiro,CD,2.7739,27.616,72.46,73,100,4.79,overcast clouds
127,Ecija,ES,37.5422,-5.0826,53.38,83,0,6.4,clear sky
128,Ribeira Grande,PT,38.5167,-28.7,61.23,85,79,9.22,broken clouds
